labels,ENG,JPN,DEU,NLD,ELL
timzontxtq,+04 Tiflis,+４ ティフリス,+04 Tiflis,+04 Tbilisi,+04 Τιφλίδα
timzontxtr,+05 Male,+５ マーレ,+05 Malé,+05 Malé,+05 Μαλέ
timzontxts,+06 Dhaka,+６ ダッカ,+06 Dhaka,+06 Dhaka,+06 Ντάκα
timzontxtt,"+07 Bangkok, Hanoi",+７ バンコク、ハノイ,"+07 Bangkok, Hanoi","+07 Bangkok, Hanoi","+07 Μπανγ., Ανόι"
timzontxtu,"+08 Beijing, Perth",+８ ペキン、パース,"+08 Peking, Perth","+08 Beijing, Perth","+08 Πεκίνο, Περθ"
timzontxtv,"+09 Tokyo, Seoul",+９ とうきょう、ソウル,"+09 Tokio, Seoul","+09 Tokio, Seoel","+09 Τόκιο, Σεούλ"
timzontxtw,+10 Sydney,+１０ シドニー,+10 Sydney,+10 Sydney,+10 Σίδνεϊ
timzontxtx,+11 New Caledonia,+１１ ニューカレドニア,+11 Neukaledonien,+11 Nieuw-Caledonië,+11 Ν. Καληδ.
timzontxty,+12 Auckland,+１２ オークランド,+12 Auckland,+12 Auckland,+12 Όκλαντ
timzontxtz,+13 Nuku'alofa,+１３ ヌクアロファ,+13 Nuku'alofa,+13 Nuku'alofa,+13 Νουκουαλόφα
